Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi_Instytut,Vokzalna,Universytet,Teatralna,Jreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova,Heroiv_Dnipra,Minska,Obolon,Pochaina,Tarasa_Sevchenka,Kontraktova_Polscha,Poschtova_Polscha,Maidan_Nezalezhnosti,Ploshcha_Lva_Tolstoho,Olimpiiska,Palats_Ukrania,Lybidska,Demiivska,Holosiivska,Vasylkiivska,Vystavkovyi_Tsentr,Ipodrom,Teremki,Syrets,Dorogozhychi,Lukianivska,Zoloti_Vorota,Palats_Sportu,Klovska,Pecherska,Druzhby_Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Jarkivska,Vyrlytsia,Boryspilska,Chervony_Jutir
Akademmistechko,0,1.23,2.64,3.57,4.56,6.76,7.9,9.93,10.88,11.58,12.07,13.83,14.7,15.85,17.28,18.28,19.49,20.56,12.03,11.42,10.91,10.38,10.59,11.34,12.02,12.07,11.94,12.05,12.7,13.3,13.28,13.21,12.35,12.64,12.71,12.96,5.65,6.72,9.13,11.58,11.94,12.9,13.72,14.63,16.17,19.4,20.07,21.18,22.23,23.15,24.32,24.95
Zhytomyrska,1.23,0,1.79,2.76,3.78,5.9,7.03,8.97,9.96,10.7,11.18,12.95,13.7,15.01,16.49,17.53,18.77,19.68,11.98,11.3,10.67,9.95,10.08,10.64,11.34,11.18,11.06,11.01,11.67,12.25,12.16,12.04,11.18,11.41,11.47,11.73,5.14,6.23,8.36,10.7,11.06,11.97,12.73,13.6,15.08,18.27,19.02,20.14,21.23,22.16,23.34,24
Sviatoshyn,2.64,1.79,0,0.97442,1.99,4.13,5.28,7.28,8.24,8.94,9.5,11.21,12.08,13.27,14.71,15.75,16.97,18.06,10.53,9.74,9.03,8.22,8.22,8.85,9.48,9.5,9.34,9.42,10.08,10.69,10.72,10.71,9.97,10.41,10.61,11.06,3.64,4.5,6.6,8.94,9.34,10.28,11.08,12,13.56,16.75,17.45,18.54,19.59,20.5,21.67,22.31
Nyvky,3.57,2.76,0.97442,0,1.01,3.17,4.33,6.37,7.3,7.99,8.54,10.26,11.15,12.29,13.74,14.77,15.99,17.09,9.76,8.94,8.17,7.28,7.24,7.87,8.5,8.54,8.41,8.52,9.22,9.88,9.97,10.04,9.38,9.94,10.21,10.77,2.84,3.57,5.62,7.99,8.41,9.34,10.18,11.13,12.74,15.91,16.58,17.66,18.7,19.6,20.76,21.38
Beresteiska,4.56,3.78,1.99,1.01,0,2.2,3.37,5.44,6.35,7.02,7.56,9.28,10.16,11.3,12.74,13.77,14.99,16.07,9.05,8.16,7.34,6.34,6.25,6.87,7.49,7.56,7.47,7.62,8.38,9.06,9.24,9.37,8.84,9.51,9.87,10.56,2.17,2.66,4.6,7.02,7.47,8.39,9.28,10.26,11.92,15.04,15.72,16.77,17.77,18.67,19.83,20.43
Shuliavska,6.76,5.9,4.13,3.17,2.2,0,1.16,3.26,4.15,4.83,5.38,7.09,7.97,9.13,10.6,11.64,12.88,13.99,8.4,7.35,6.32,4.97,4.48,4.88,5.39,5.38,5.27,5.46,6.28,7.02,7.32,7.6,7.33,8.24,8.76,9.7,2.75,2.13,2.6,4.83,5.27,6.2,7.09,8.12,9.84,12.92,13.56,14.6,15.6,16.48,17.63,18.23
Politekhnichnyi_Instytut,7.9,7.03,5.28,4.33,3.37,1.16,0,2.11,2.99,3.67,4.23,5.93,6.82,7.99,9.48,10.54,11.79,12.92,8.33,7.21,6.1,4.56,3.78,3.95,4.35,4.23,4.11,4.33,5.19,5.96,6.36,6.74,6.65,7.7,8.3,9.37,3.62,2.7,1.77,3.67,4.11,5.03,5.95,7,8.75,11.8,12.43,13.45,14.44,15.32,16.47,17.07
Vokzalna,9.93,8.97,7.28,6.37,5.44,3.26,2.11,0,1.07,1.86,2.51,4.06,4.92,6.19,7.75,8.86,10.15,11.32,9.07,7.9,6.72,5.01,3.75,3.25,3.15,2.51,2.1,2.21,3.11,3.92,4.49,5.06,5.34,6.61,7.36,8.64,5.64,4.58,2.24,1.86,2.1,3.01,3.84,4.88,6.66,9.68,10.32,11.35,12.35,13.25,14.4,15.04
Universytet,10.88,9.96,8.24,7.3,6.35,4.15,2.99,1.07,0,0.7864,1.44,3.01,3.88,5.12,6.69,7.8,9.09,10.26,8.58,7.68,6.49,4.78,3.41,2.63,2.26,1.44,1.12,1.59,2.69,3.56,4.37,5.11,5.68,7.03,7.84,9.2,6.3,5.17,2.48,0.7864,1.12,2.05,3.04,4.2,6.08,8.96,9.54,10.51,11.47,12.34,13.49,14.09
Teatralna,11.58,10.7,8.94,7.99,7.02,4.83,3.67,1.86,0.7864,0,0.66289,2.27,3.15,4.36,5.91,7.02,8.3,9.47,8.68,7.54,6.36,4.69,3.29,2.28,1.67,0.66289,0.68972,1.57,2.69,3.55,4.51,5.36,6.1,7.49,8.33,9.72,6.81,5.63,2.85,0,0.68972,1.49,2.64,3.88,5.8,8.51,9.07,9.97,10.89,11.73,12.85,13.41
Jreshchatyk,12.07,11.18,9.5,8.54,7.56,5.38,4.23,2.51,1.44,0.66289,0,1.74,2.62,3.76,5.28,6.38,7.66,8.82,8.52,7.39,6.24,4.64,3.24,2.11,1.28,0,0.94749,1.9,2.94,3.76,4.81,5.71,6.56,7.97,8.82,10.24,7.2,6,3.21,0.663,0.94749,1.33,2.53,3.8,5.74,8.27,8.78,9.62,10.49,11.3,12.4,12.93
